content_id,platform,content_type,topic,likes,comments,shares,saves,reach,engagement_rate,performance_label,success_driver,failure_reason,posted_at,recommended_action
cnt_032,LinkedIn,carousel,Motivation,1189,73,121,124,11316,0.133,average,,Audience engagement consistent with baseline,2026-01-02,Experiment with hook or CTA to push performance
cnt_033,LinkedIn,text,Tech,218,84,110,181,1521,0.39,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-03,Replicate hook style and CTA in upcoming posts
cnt_034,LinkedIn,image,Motivation,130,86,167,50,452,0.958,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-04,Replicate hook style and CTA in upcoming posts
cnt_035,Instagram,text,Productivity,529,24,48,274,3424,0.256,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-05,Replicate hook style and CTA in upcoming posts
cnt_036,X,reel,Motivation,590,59,63,38,5400,0.139,average,,Content performed as expected for this format,2026-01-06,Maintain strategy and test small variations
cnt_037,Instagram,carousel,Announcement,1127,107,3,47,10969,0.117,average,,Content performed as expected for this format,2026-01-07,Maintain strategy and test small variations
cnt_038,Instagram,text,Motivation,1014,61,54,205,3522,0.379,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-08,Replicate hook style and CTA in upcoming posts
cnt_039,LinkedIn,text,Productivity,819,33,200,232,4793,0.268,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-09,Replicate hook style and CTA in upcoming posts
cnt_040,X,reel,Tech,408,37,55,29,3596,0.147,average,,Content performed as expected for this format,2026-01-10,Maintain strategy and test small variations
cnt_041,X,carousel,Motivation,662,7,12,299,5891,0.166,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-11,Replicate hook style and CTA in upcoming posts
cnt_042,Instagram,carousel,Announcement,1060,10,47,35,8054,0.143,average,,Content performed as expected for this format,2026-01-12,Maintain strategy and test small variations
cnt_043,X,reel,Marketing,265,120,145,126,1980,0.331,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-13,Replicate hook style and CTA in upcoming posts
cnt_044,X,image,Education,187,53,168,298,1718,0.411,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-14,Replicate hook style and CTA in upcoming posts
cnt_045,LinkedIn,text,Productivity,438,85,183,160,2291,0.378,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-15,Replicate hook style and CTA in upcoming posts
cnt_046,LinkedIn,reel,Motivation,634,58,80,37,1978,0.409,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-16,Replicate hook style and CTA in upcoming posts
cnt_047,LinkedIn,reel,Productivity,1121,27,129,135,4448,0.317,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-17,Replicate hook style and CTA in upcoming posts
cnt_048,X,image,Marketing,776,36,40,224,6778,0.159,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-18,Replicate hook style and CTA in upcoming posts
cnt_049,X,reel,Productivity,1103,1,170,283,5761,0.27,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-19,Replicate hook style and CTA in upcoming posts
cnt_050,LinkedIn,image,Marketing,561,14,27,283,2319,0.382,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-20,Replicate hook style and CTA in upcoming posts
cnt_051,X,image,Marketing,451,91,87,104,4168,0.176,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-21,Replicate hook style and CTA in upcoming posts
cnt_052,LinkedIn,image,Motivation,1020,32,13,47,8256,0.135,average,,Content performed as expected for this format,2026-01-22,Maintain strategy and test small variations
cnt_053,LinkedIn,carousel,Tech,27,42,197,66,244,1.361,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-23,Replicate hook style and CTA in upcoming posts
cnt_054,Instagram,reel,Motivation,924,70,180,218,7366,0.189,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-24,Replicate hook style and CTA in upcoming posts
cnt_055,Instagram,text,Productivity,325,69,9,189,3238,0.183,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-25,Replicate hook style and CTA in upcoming posts
cnt_056,Instagram,carousel,Tech,105,39,93,20,681,0.377,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-26,Replicate hook style and CTA in upcoming posts
cnt_057,X,carousel,Productivity,230,45,199,286,1522,0.499,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-27,Replicate hook style and CTA in upcoming posts
cnt_058,Instagram,image,Announcement,352,102,45,211,1157,0.614,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-28,Replicate hook style and CTA in upcoming posts
cnt_059,Instagram,text,Productivity,528,34,40,55,3150,0.209,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-29,Replicate hook style and CTA in upcoming posts
cnt_060,Instagram,carousel,Motivation,428,104,117,179,2534,0.327,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-30,Replicate hook style and CTA in upcoming posts
cnt_061,LinkedIn,image,Tech,415,51,84,142,1529,0.453,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-01-31,Replicate hook style and CTA in upcoming posts
cnt_062,Instagram,reel,Education,1063,51,173,274,5901,0.265,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-01,Replicate hook style and CTA in upcoming posts
cnt_063,X,text,Education,385,74,67,19,1599,0.341,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-02,Replicate hook style and CTA in upcoming posts
cnt_064,LinkedIn,carousel,Education,662,55,155,261,2933,0.386,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-03,Replicate hook style and CTA in upcoming posts
cnt_065,X,carousel,Education,110,90,111,0,862,0.361,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-04,Replicate hook style and CTA in upcoming posts
cnt_066,LinkedIn,reel,Tech,903,8,170,169,7813,0.16,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-05,Replicate hook style and CTA in upcoming posts
cnt_067,LinkedIn,image,Marketing,635,64,79,209,4577,0.216,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-06,Replicate hook style and CTA in upcoming posts
cnt_068,X,carousel,Marketing,280,24,107,194,2227,0.272,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-07,Replicate hook style and CTA in upcoming posts
cnt_069,LinkedIn,image,Productivity,1185,38,103,280,3561,0.451,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-08,Replicate hook style and CTA in upcoming posts
cnt_070,LinkedIn,text,Tech,900,100,148,164,6509,0.202,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-09,Replicate hook style and CTA in upcoming posts
cnt_071,Instagram,image,Marketing,457,65,121,86,4069,0.179,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-10,Replicate hook style and CTA in upcoming posts
cnt_072,Instagram,carousel,Productivity,706,11,192,120,4660,0.221,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-11,Replicate hook style and CTA in upcoming posts
cnt_073,Instagram,text,Announcement,70,5,62,243,522,0.728,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-12,Replicate hook style and CTA in upcoming posts
cnt_074,LinkedIn,carousel,Productivity,1198,24,183,196,11693,0.137,average,,Audience engagement consistent with baseline,2026-02-13,Experiment with hook or CTA to push performance
cnt_075,LinkedIn,carousel,Productivity,31,114,192,54,292,1.339,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-14,Replicate hook style and CTA in upcoming posts
cnt_076,Instagram,text,Productivity,1080,59,12,285,5281,0.272,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-15,Replicate hook style and CTA in upcoming posts
cnt_077,LinkedIn,text,Marketing,971,85,135,286,7790,0.19,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-16,Replicate hook style and CTA in upcoming posts
cnt_078,Instagram,text,Announcement,1053,54,140,228,10508,0.14,average,,Content performed as expected for this format,2026-02-17,Maintain strategy and test small variations
cnt_079,X,text,Tech,550,96,63,141,4786,0.178,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-18,Replicate hook style and CTA in upcoming posts
cnt_080,LinkedIn,carousel,Education,509,35,112,39,4449,0.156,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-19,Replicate hook style and CTA in upcoming posts
cnt_081,Instagram,carousel,Announcement,707,40,138,41,3254,0.285,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-20,Replicate hook style and CTA in upcoming posts
cnt_082,LinkedIn,image,Marketing,332,90,54,32,2695,0.188,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-21,Replicate hook style and CTA in upcoming posts
cnt_083,LinkedIn,reel,Marketing,974,53,15,105,6363,0.18,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-22,Replicate hook style and CTA in upcoming posts
cnt_084,LinkedIn,text,Marketing,799,61,1,180,4843,0.215,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-23,Replicate hook style and CTA in upcoming posts
cnt_085,Instagram,image,Announcement,1138,102,154,112,7413,0.203,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-24,Replicate hook style and CTA in upcoming posts
cnt_086,X,text,Tech,1014,3,99,172,8521,0.151,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-25,Replicate hook style and CTA in upcoming posts
cnt_087,Instagram,text,Marketing,358,107,119,65,3261,0.199,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-26,Replicate hook style and CTA in upcoming posts
cnt_088,Instagram,text,Productivity,1175,84,6,42,10547,0.124,average,,Audience engagement consistent with baseline,2026-02-27,Experiment with hook or CTA to push performance
cnt_089,LinkedIn,image,Education,122,33,97,167,582,0.72,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-02-28,Replicate hook style and CTA in upcoming posts
cnt_090,Instagram,text,Motivation,796,35,192,215,4454,0.278,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-01,Replicate hook style and CTA in upcoming posts
cnt_091,Instagram,reel,Motivation,1124,6,89,114,8697,0.153,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-02,Replicate hook style and CTA in upcoming posts
cnt_092,Instagram,text,Tech,526,25,5,78,2555,0.248,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-03,Replicate hook style and CTA in upcoming posts
cnt_093,LinkedIn,image,Productivity,254,72,55,238,2194,0.282,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-04,Replicate hook style and CTA in upcoming posts
cnt_094,X,reel,Education,254,99,41,159,983,0.563,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-05,Replicate hook style and CTA in upcoming posts
cnt_095,Instagram,carousel,Motivation,1199,86,96,203,6846,0.231,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-06,Replicate hook style and CTA in upcoming posts
cnt_096,LinkedIn,text,Tech,637,108,175,61,2247,0.437,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-07,Replicate hook style and CTA in upcoming posts
cnt_097,LinkedIn,text,Motivation,778,8,129,174,2437,0.447,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-08,Replicate hook style and CTA in upcoming posts
cnt_098,Instagram,text,Productivity,907,46,162,235,8515,0.159,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-09,Replicate hook style and CTA in upcoming posts
cnt_099,LinkedIn,text,Announcement,1088,83,69,275,9609,0.158,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-10,Replicate hook style and CTA in upcoming posts
cnt_100,LinkedIn,carousel,Announcement,569,41,62,44,2849,0.251,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-11,Replicate hook style and CTA in upcoming posts
cnt_101,Instagram,text,Education,1187,78,171,194,9072,0.18,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-12,Replicate hook style and CTA in upcoming posts
cnt_102,LinkedIn,image,Marketing,392,62,54,181,2234,0.308,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-13,Replicate hook style and CTA in upcoming posts
cnt_103,Instagram,carousel,Tech,585,71,2,264,3320,0.278,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-14,Replicate hook style and CTA in upcoming posts
cnt_104,LinkedIn,text,Announcement,852,62,142,123,8213,0.144,average,,Audience engagement consistent with baseline,2026-03-15,Experiment with hook or CTA to push performance
cnt_105,X,carousel,Education,55,11,75,113,372,0.683,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-16,Replicate hook style and CTA in upcoming posts
cnt_106,LinkedIn,image,Education,775,60,141,271,5141,0.243,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-17,Replicate hook style and CTA in upcoming posts
cnt_107,Instagram,carousel,Education,949,34,78,128,4735,0.251,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-18,Replicate hook style and CTA in upcoming posts
cnt_108,Instagram,text,Education,264,95,137,94,1184,0.498,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-19,Replicate hook style and CTA in upcoming posts
cnt_109,Instagram,image,Productivity,1094,76,72,51,10102,0.128,average,,Content performed as expected for this format,2026-03-20,Maintain strategy and test small variations
cnt_110,Instagram,image,Motivation,759,22,77,7,6652,0.13,average,,Audience engagement consistent with baseline,2026-03-21,Experiment with hook or CTA to push performance
cnt_111,LinkedIn,reel,Motivation,131,70,74,64,1046,0.324,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-22,Replicate hook style and CTA in upcoming posts
cnt_112,LinkedIn,carousel,Motivation,1195,36,120,245,10801,0.148,average,,Audience engagement consistent with baseline,2026-03-23,Experiment with hook or CTA to push performance
cnt_113,Instagram,text,Announcement,537,120,122,58,4978,0.168,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-24,Replicate hook style and CTA in upcoming posts
cnt_114,Instagram,image,Motivation,171,73,161,27,823,0.525,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-25,Replicate hook style and CTA in upcoming posts
cnt_115,X,carousel,Marketing,528,15,142,213,4067,0.221,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-26,Replicate hook style and CTA in upcoming posts
cnt_116,LinkedIn,image,Marketing,799,57,113,152,7218,0.155,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-27,Replicate hook style and CTA in upcoming posts
cnt_117,Instagram,carousel,Education,143,78,189,50,1399,0.329,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-28,Replicate hook style and CTA in upcoming posts
cnt_118,Instagram,carousel,Motivation,186,20,61,88,1688,0.21,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-29,Replicate hook style and CTA in upcoming posts
cnt_119,Instagram,carousel,Education,856,57,176,240,4953,0.268,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-30,Replicate hook style and CTA in upcoming posts
cnt_120,LinkedIn,carousel,Announcement,599,89,116,36,3709,0.226,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-03-31,Replicate hook style and CTA in upcoming posts
cnt_121,Instagram,reel,Motivation,255,69,57,76,1309,0.349,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-01,Replicate hook style and CTA in upcoming posts
cnt_122,LinkedIn,reel,Announcement,359,101,78,291,2259,0.367,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-02,Replicate hook style and CTA in upcoming posts
cnt_123,X,text,Announcement,642,89,103,139,6025,0.161,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-03,Replicate hook style and CTA in upcoming posts
cnt_124,X,image,Motivation,184,76,10,221,1212,0.405,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-04,Replicate hook style and CTA in upcoming posts
cnt_125,Instagram,image,Marketing,207,29,172,294,1823,0.385,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-05,Replicate hook style and CTA in upcoming posts
cnt_126,X,text,Education,102,97,193,89,787,0.611,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-06,Replicate hook style and CTA in upcoming posts
cnt_127,LinkedIn,image,Announcement,391,74,111,251,1546,0.535,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-07,Replicate hook style and CTA in upcoming posts
cnt_128,LinkedIn,text,Tech,702,41,171,53,3423,0.283,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-08,Replicate hook style and CTA in upcoming posts
cnt_129,X,reel,Announcement,1034,36,169,205,9766,0.148,average,,Audience engagement consistent with baseline,2026-04-09,Experiment with hook or CTA to push performance
cnt_130,LinkedIn,reel,Tech,200,40,64,165,837,0.56,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-10,Replicate hook style and CTA in upcoming posts
cnt_131,X,image,Marketing,1131,59,105,27,4929,0.268,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-11,Replicate hook style and CTA in upcoming posts
cnt_132,LinkedIn,carousel,Education,1040,80,113,26,4787,0.263,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-12,Replicate hook style and CTA in upcoming posts
cnt_133,Instagram,carousel,Tech,917,112,178,248,3745,0.389,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-13,Replicate hook style and CTA in upcoming posts
cnt_134,LinkedIn,reel,Productivity,344,39,141,7,3294,0.161,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-14,Replicate hook style and CTA in upcoming posts
cnt_135,X,image,Marketing,252,59,30,78,1776,0.236,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-15,Replicate hook style and CTA in upcoming posts
cnt_136,LinkedIn,carousel,Announcement,579,53,123,241,2735,0.364,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-16,Replicate hook style and CTA in upcoming posts
cnt_137,Instagram,image,Announcement,410,117,153,260,1789,0.525,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-17,Replicate hook style and CTA in upcoming posts
cnt_138,LinkedIn,image,Marketing,716,119,129,136,2169,0.507,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-18,Replicate hook style and CTA in upcoming posts
cnt_139,LinkedIn,image,Education,1022,110,38,228,7478,0.187,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-19,Replicate hook style and CTA in upcoming posts
cnt_140,LinkedIn,carousel,Tech,1150,97,139,193,7180,0.22,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-20,Replicate hook style and CTA in upcoming posts
cnt_141,LinkedIn,reel,Education,509,73,98,119,5033,0.159,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-21,Replicate hook style and CTA in upcoming posts
cnt_142,X,carousel,Announcement,988,90,97,197,8400,0.163,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-22,Replicate hook style and CTA in upcoming posts
cnt_143,LinkedIn,reel,Marketing,95,16,128,169,387,1.054,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-23,Replicate hook style and CTA in upcoming posts
cnt_144,X,carousel,Motivation,955,1,184,73,6223,0.195,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-24,Replicate hook style and CTA in upcoming posts
cnt_145,X,text,Tech,981,100,67,173,8048,0.164,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-25,Replicate hook style and CTA in upcoming posts
cnt_146,LinkedIn,text,Marketing,184,109,84,273,1330,0.489,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-26,Replicate hook style and CTA in upcoming posts
cnt_147,X,image,Productivity,93,79,17,120,925,0.334,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-27,Replicate hook style and CTA in upcoming posts
cnt_148,Instagram,image,Motivation,205,55,25,51,1523,0.221,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-28,Replicate hook style and CTA in upcoming posts
cnt_149,LinkedIn,text,Productivity,114,41,14,150,709,0.45,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-29,Replicate hook style and CTA in upcoming posts
cnt_150,Instagram,carousel,Productivity,520,67,105,289,4352,0.225,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-04-30,Replicate hook style and CTA in upcoming posts
cnt_151,X,carousel,Productivity,181,78,97,123,1562,0.307,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-05-01,Replicate hook style and CTA in upcoming posts
cnt_152,X,reel,Announcement,964,81,65,235,4983,0.27,outperforming,Strong emotional hook,Strong emotional hook and clear CTA drove engagement,2026-05-02,Replicate hook style and CTA in upcoming posts
